SSN,Char,Other_ID,Other_ID_2,Char_type,Source,Pyrolysis_Unit,Class,Feedstock,Temp.,Naphthalin (mg/kg),2-Methylnaphthalin,1-Methylnaphthalin,∑Naphthaline,Acenaphthylen,Acenaphthen,Fluoren,Phenanthren ,Anthracen,Fluoranthen,Pyren,Chrysen,Benzo(a)anthracen,Benzo(b+k)fluoranthen,Benzo(a)pyren,"Dibenzo(a,h)anthracen","Indeno(c,d)pyren","Benzo(g,h,i)perylen",∑ PAK nach EPA (mg/kg),Bulk Density (Mg/m-3),External_Surf_Area_N2_(m2/g),Surf_Area_(m2/g),pH,EC_(uS),Ash_avg,Fixed_Carbon_avg,volatile_mass,CEC_(mmol/kg),exchg_Ca_(mmol/kg),exchg_K_(mmol/kg),exchg_Mg_(mmol/kg),exchg_Na_(mmol/kg),exchg_P_(mmol/kg),Ca_(mg/kg),K_(mg/kg),Mg_(mg/kg),Na_(mg/kg),15N,Yield_(w/w),Moisture_105avg,labile_mass_avg,Fixed_Carbon_avg,Ash_Free_Mass_avg,Volatiles_ash_free_avg,C_tot_avg,N_tot_avg,C_tot_to_N_(w/w),Corg_(w/w),Cinorg,H_tot_(w/w),O_ult,Oc_[A_ Si_Fe],Oc_[Al_Si_Fe_Ca],Oc_[Al_Si_Fe_Cinorg],Oc_[Cinorg],mg_Al2O3_O_per_kg_char,mg_SiO2_O_per_kg_char,mg_Fe2O3_O_per_kg_char,mg-CaCO3-O/kg char,Corg_to_N_(w/w),Ctot_to_N_(mol_to_mol),Htot_to_Ctot_(molar),Oult_to_Ctot_(molar),Htot_to_Corg_(molar),Oult_to_Corg_(molar),Oc_[Al_Si_Fe]_to_Corg_(molar),Oc_[Al_Si_Fe_Ca]_to_Corg_(molar),Oc_[Al_Si_Fe_Cinorg]_to_to_Corg_(molar),Oc_[Cinorg]_to_Corg_(molar),pHKCl4.5_avg,P_avg_(mg/kg),S_avg_(mg/kg),Fe_avg_(mg/kg),Mn_avg_(mg/kg),Zn_avg_(mg/kg),Cu_avg_(mg/kg),Mo_avg_(mg/kg),B_avg_(mg/kg),Ni_avg_(mg/kg),Cr_avg_(mg/kg),Co_avg_(mg/kg),As_avg_(mg/kg),Cd_avg_(mg/kg),Pb_avg_(mg/kg),Al_avg_(mg/kg),Ba_avg_(mg/kg),Cd2_avg_(mg/kg),Fe2714_avg_(mg/kg),K4047_avg_(mg/kg),Se_avg_(mg/kg),Si_avg_(mg/kg),Sr_avg_(mg/kg),Ti_avg_(mg/kg),V_avg_(mg/kg),Y_avg_(mg/kg),BJH_Pore_Vol_(cc/g),DFT_Pore_Vol_(cc/g),Decomposition_36_month_perc_remaining,C Stability (%C),Dioxin/Furan (ng/kg i-TEQ),PCBs (ng/kg),Pore Diameter (nm)
WA078225,Dairy Manure w/ Rice Hulls 300°C,MIR030,,cow,Cornell ,,mixed ,,300,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,9.17,#DIV/0!,0.100960167,0.445450396,0.453589436,286.43,66.59332442,42.93372212,27.21170175,25.74888316,,11094.42734,8985.774723,3933.815097,3269.995779,,0.416,0.038122312,0.048050198,0.495473482,0.899039833,0.504526518,0.612790372,0.015509148,39.511543,0.614597775,-0.001807403,0.044596611,0.226143702,0.225793541,0.03095971,0.233023152,0.233373314,129.0434337,131.5542054,89.56354881,13286.73933,39.6280809,46.0777748,0.867192442,0.277010091,0.864642211,0.276195462,0.275767801,0.037811937,0.284597522,0.285025184,#DIV/0!,1152.087308,1798.802269,208.4218417,51.65951483,89.9848651,251.9631427,1.401490904,22.8929465,4.969350973,1.54710065,1.191801231,-0.400924349,0.206957539,4.648035139,145.0663267,7.128567998,-0.019065783,205.4104957,7763.346661,3.36924841,115.4799259,54.12647357,132.8187512,0.387869176,0.06118588,#DIV/0!,#DIV/0!,78.34590276,,,,
WA078226,Dairy Manure w/ Rice Hulls 350°C,MIR031,,cow,Cornell ,,mixed ,,350,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,9.92,#DIV/0!,0.102206673,0.313905609,0.583887719,275.92,93.24231489,63.75635752,33.93819287,36.65675065,,10859.31693,10073.76712,4278.094413,3698.328976,,0.336,0.045719791,0.027232452,0.349641281,0.897793327,0.650358719,0.641124021,0.017851431,35.9144338,0.63225863,0.00886539,0.041046717,0.197771159,0.197330468,0.027600857,0.161868907,0.162309597,128.8643641,175.7265136,136.0994088,13005.16998,35.4178131,41.8828794,0.762890042,0.231549546,0.773587117,0.234796282,0.23427309,0.032768067,0.1921727,0.192695893,#DIV/0!,1809.781481,1600.868632,316.7146659,55.89900089,98.4692871,326.0019227,1.580994398,27.50380561,6.00532684,3.691567898,1.163711588,0.545068998,0.043293383,5.083024468,144.8650226,6.722079227,0.158463415,311.6967321,8900.878517,-0.592136261,154.2549302,48.65523697,33.53267262,0.366398505,0.002456384,#DIV/0!,#DIV/0!,92.62718638,,,,
WA078227,Dairy Manure w/ Rice Hulls 400°C,MIR032,,cow,Cornell ,,mixed ,,400,,,,,,,,,,,,,,,,,,,,,1.5,391.9,9.95,#DIV/0!,0.114638216,0.494731959,0.390629825,175.27,136.6894146,78.12656808,41.17654234,38.70733209,,12807.52739,10344.65791,4258.232718,3568.506093,,0.299,0.045482724,0.032363091,0.558790732,0.885361784,0.441209268,0.671117163,0.013515109,49.6568063,0.660198341,0.010918822,0.032718594,0.168010918,0.167622824,0.016992144,0.123947534,0.124335628,129.9912255,127.1695219,130.9332374,15338.35616,48.8489088,57.9090302,0.580927383,0.187915318,0.590535167,0.191023193,0.190581942,0.01931954,0.140924495,0.141365746,#DIV/0!,1466.46424,1484.068677,304.6925545,52.69315712,87.48664499,300.7727442,1.875788711,26.54303856,4.650743683,1.715600384,2.042363414,0.575108508,0.069851795,2.095672592,146.1318027,6.980729651,-0.127019431,314.8166099,8718.256602,-0.069962752,111.630996,42.52912354,68.05052387,1.178259962,0.271281812,0.001,0.07,101.5119552,,,,
WA078228,Dairy Manure w/ Rice Hulls 450°C,MIR033,,cow,Cornell ,,mixed ,,450,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.117081571,0.462271608,0.420646822,180.02,143.6173941,53.28875171,36.96128264,34.49780351,,13472.91506,11755.81684,5067.893688,4008.648422,,0.28,0.045144154,0.022130937,0.523572271,0.882918429,0.476427729,0.700694233,0.015365022,45.6032037,0.69094437,0.009749863,0.030624021,0.136235153,0.135702219,0.01395586,0.096702769,0.097235703,166.6677718,216.1041273,150.1619322,16135.22761,44.9686545,53.181779,0.520785927,0.145943133,0.528134697,0.148002526,0.147423559,0.015161304,0.105055514,0.10563448,#DIV/0!,2001.021407,1608.424347,349.4393297,77.78030728,120.5838634,402.5331256,1.251705588,23.18817467,4.849293375,1.488240443,1.557991624,-0.505626895,-0.058831187,0.746224331,187.3623534,7.678156778,-0.062093815,351.3452202,9299.010774,-0.817055801,189.6989042,57.76392129,35.62031608,0.856953924,0.183246689,#DIV/0!,#DIV/0!,95.05689312,,,,
WA078229,Dairy Manure w/ Rice Hulls 500°C,MIR034,,cow,Cornell ,,mixed ,,500,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,566,0.1236399,0.537370578,0.338989522,112.08,135.1484518,57.62777694,29.10411745,42.66730172,,12568.82505,9630.439663,4609.766837,2223.092847,,0.271,0.047387219,0.03040281,0.613184669,0.8763601,0.386815331,0.707169758,0.014292811,49.4773035,0.725199868,-0.01803011,0.025525629,0.129371901,0.129522296,0.010623539,0.201642734,0.201492339,144.0959662,-464.7269333,170.2364958,15052.48509,50.7387844,57.6996966,0.43010881,0.137321742,0.419415332,0.133907613,0.13406328,0.010995994,0.208712224,0.208556557,#DIV/0!,1754.178322,1438.309194,396.1545122,78.73983443,79.90405421,346.6720195,2.796060587,-47.22665905,2.512143648,0.903408159,0.187681383,-3.419402971,-0.601728252,-9.770039035,161.987882,-12.12435882,0.126251253,393.6669304,11878.07849,-0.637823365,-407.9431111,43.97237539,24.6442885,1.261001519,-0.207200223,#DIV/0!,#DIV/0!,91.26936602,,,,
WA078230,Dairy Manure w/ Rice Hulls 550°C,MIR035,,cow,Cornell ,,mixed ,,550,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.134369057,0.447480304,0.418150639,130.38,112.7769275,57.62777694,22.26461383,42.66730172,,25701.59798,13387.78201,6356.598873,4424.488392,,0.257,0.043657898,0.026404667,0.516941207,0.865630943,0.483058793,0.72348285,0.014805793,48.8648512,0.714212885,0.009269965,0.023199189,0.104143111,0.103233513,-0.008490765,0.066153653,0.067063251,186.9341786,398.5478387,324.1159242,30780.35686,48.2387472,56.9854639,0.382093924,0.108050139,0.387053225,0.109452551,0.10849658,-0.008923643,0.069526309,0.07048228,#DIV/0!,2358.275846,1792.767103,754.2447653,112.5068626,141.6744641,498.6184123,2.25235764,35.28027598,6.378655303,1.446634158,1.661409517,-0.047917309,0.060025121,0.141411503,210.1451724,9.453520471,0.06854414,744.3120675,12031.21187,0.794318734,349.8502747,59.8656618,55.47647916,1.050835022,0.209598856,#DIV/0!,#DIV/0!,93.19100484,,,,
WA078231,Dairy Manure w/ Rice Hulls 600°C,MIR036,,cow,Cornell ,,mixed ,,600,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.126440484,0.566359319,0.307200197,96.8,90.2397555,60.45206552,15.64709848,62.82939672,,13996.79879,13236.00207,5366.326894,4538.005201,,0.256,0.038195598,0.03624378,0.648335126,0.873559516,0.351664874,0.723995776,0.013226724,54.7373462,0.751960608,-0.027964832,0.019946209,0.116390807,0.115722979,0.002515747,0.227582306,0.228250134,143.1323047,353.6418288,171.0542545,16762.63329,56.8516136,63.8338804,0.328284129,0.120671767,0.316075496,0.116184077,0.115517435,0.002511279,0.227178082,0.227844724,#DIV/0!,2433.407262,1629.976906,398.0575047,98.28777462,114.3577228,429.3608907,2.730569832,30.20113268,6.43642977,1.156225128,1.463069305,-0.315096323,0.056891612,2.222950354,160.9045659,7.781405004,0.067258932,392.526847,11643.02709,1.277949571,310.4312178,50.92995729,53.270405,0.710353455,0.077437311,#DIV/0!,#DIV/0!,106.4174114,,,,
WA078232,Digested Dairy Manure screw pressed 300°C*,MIR037,,cow,Cornell ,,manure,Cow,300,,,,,,,,,,,,,,,,,,,,0.172,2.15,nd,8.92,211,0.3923,0.1029,0.5048,444,450,303,316,148,5391,20185,14954,8757,3808,8.08,0.24625,0.036822307,0.030552509,0.052901301,0.607689486,0.659219816,0.561,0.0266,21,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,533.8338065,-32.17303487,734.9955294,24174.23829,#DIV/0!,24.6087992,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,8.32,5391.211896,2948.353991,1710.395846,128.0303788,129.2388294,47.54726721,6.938664864,31.59848237,5.752186106,2.303227462,1.789082344,3.878033466,-1.568812838,24.26536814,600.1181708,14.37755601,-0.197790893,1711.939907,17069.13169,-12.27261242,-28.24189217,50.93857105,-12.27556738,0.224228133,0.776320201,0.0043,#DIV/0!,,,,,
WA078233,Digested Dairy Manure screw pressed 350°C,MIR038,,cow,Cornell ,,manure,Cow,350,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,9.17,1765,0.126934739,0.316840142,0.55622512,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.385093168,0.049638342,#DIV/0!,0.36290545,0.873065261,0.63709455,0.577175528,0.023823062,24.227596,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,28.2538627,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,8.24,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
WA078234,Digested Dairy Manure screw pressed 400°C*,MIR039,,cow,Cornell ,,manure,Cow,400,,,,,,,,,,,,,,,,,,,,0.169,2.91,nd,9.22,201,0.145,0.2691,0.5858,297,393,340,252,151,6446,22552,16604,9733,4405,7.85,0.372227024,0.057432768,0.010810678,0.314804322,0.854966366,0.685195678,0.577,0.0242,26,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,482.866421,-271.8120099,711.4863345,27008.79282,#DIV/0!,30.7307359,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,8.62,6446.149688,2720.346149,1655.687991,145.1471986,131.022959,43.93572077,17.86419726,14.53577298,6.235988256,1.601204706,2.413715716,1.425267983,4.990102034,-27.17577158,542.822335,18.77469422,5.213405903,1666.103546,16471.03857,-2.394779975,-238.5999799,56.43499482,-14.93100613,0.408407394,0.649803583,0.0051,#DIV/0!,,,,,
WA078235,Digested Dairy Manure screw pressed 450°C,MIR040,,cow,Cornell ,,manure,Cow,450,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,10.2,1869,0.177653236,0.407504201,0.414842563,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.183089214,0.052396287,#DIV/0!,0.495538159,0.822346764,0.504461841,0.603808519,0.024752138,24.3941962,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,28.4481494,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,9.325,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
WA078236,Digested Dairy Manure screw pressed 500°C*,MIR041,,cow,Cornell ,,manure,Cow,500,,,,,,,,,,,,,,,,,,,,0.12,1.98,nd,9.36,217,0.1474,0.4259,0.4267,478,453,330,325,158,3945,18505,14937,8498,3861,8.26,0.307116105,0.039061733,0.053271784,0.499535975,0.852578304,0.500464025,0.594,0.0258,23,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,449.3895554,-215.9617487,1018.894841,22161.71995,#DIV/0!,26.9096576,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,8.885,5648.829612,1879.731291,2371.053202,161.7084269,223.7684827,43.66928924,7.013891119,25.44157526,6.433140084,5.924804017,1.275737997,6.317369156,0.043655479,13.18703322,505.1887585,14.36518097,-0.708596615,2363.042241,19382.18188,1.24447151,-189.5739226,49.17627155,-15.07773573,0.904735873,0.592845627,0.0035,#DIV/0!,,,,,
WA078237,Digested Dairy Manure screw pressed 550°C,MIR042,,cow,Cornell ,,manure,Cow,550,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,10.02,1913,0.17281119,0.409624934,0.417563876,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.247191011,0.057143675,#DIV/0!,0.495201252,0.82718881,0.504798748,0.609253586,0.021730229,28.037145,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,32.6965022,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,9.265,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
WA078238,Digested Dairy Manure screw pressed 600°C,MIR043,,cow,Cornell ,,manure,Cow,600,,,,,,,,,,,,,,,,,,,,0.12,5.07,nd,9.94,234,0.1884,0.4173,0.3943,151,291,413,164,257,8269,26518,20852,11744,5051,6.56,0.241895262,0.028095315,0.03886015,0.514205529,0.811615798,0.485794471,0.628,0.0225,28,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,793.4621474,-173.734021,1012.453454,31758.24334,#DIV/0!,32.5590994,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,9.465,8268.739859,2863.122244,2356.063559,191.2164615,200.1887104,58.30051172,1.369175944,19.08777091,3.855576388,3.148334652,1.972280921,-1.048234505,-0.676254256,-26.36100924,891.9836974,29.44850471,-0.858074102,2346.547568,18613.48506,3.06364264,-152.5058953,67.63576392,-10.47089037,0.584218208,0.824211758,0.006,#DIV/0!,,,,,
WA078239,Dynamotive Softwood,MIR044,,woody,Cornell ,,woody biomass,Softwood,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,nd,8.27,423,0.4596,0.1832,0.3572,98,157,560,32,413,5007,51745,14557,5341,9008,4.06,,0.036060111,0.002915238,0.518395668,0.943942528,0.481604332,52.4,3.65,14,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,107.0923202,80.48805923,48.77665261,4490.306244,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,56.38567628,65.22343882,113.5073354,310.2985563,34.2989808,3.27419031,0.532617566,8.819294454,1.216911533,2.409258311,0.432568646,0.609535042,0.394323394,3.767525258,120.3896166,39.23536637,0.389461852,114.6127987,897.4593711,0.162829268,70.65342449,17.27867241,2.262491135,0.199176013,0.130265348,#DIV/0!,#DIV/0!,,,,,
WA078240,EPRIDA,MIR045,,,Cornell ,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,nd,9.67,573,0.527,0.1359,0.3371,88,229,388,37,328,7524,53779,21340,4461,13708,4.25,,0.049352598,0.006977137,0.510437425,0.931866881,0.489562575,36.7,2.56,14,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2087.361985,176.0443172,446.4785209,5677.977779,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1986.36581,843.6960143,1038.992725,137.2160722,36.32872297,21.13741804,0.444778602,19.51542103,2.533138554,2.036552392,0.739556829,1.124464826,0.28962721,5.195305937,2346.542765,52.72552557,0.315641603,1024.009753,16637.78807,-1.76561526,154.5339022,12.32099772,45.47735885,3.126922896,3.061646034,#DIV/0!,#DIV/0!,,,,,
WA078241,Food Waste 300°C,MIR047,,ash,Cornell ,,,Food,300,,,,,,,,,,,,,,,,,,,,0.428,0.4,nd,7.52,465,0.233,0.3128,0.4542,104,57,307,27,255,5874,28177,13018,3337,9852,4.6,0.4816571,0.017374831,0.071680287,0.407856962,0.766983631,0.840405468,0.653,0.0588,11,0.536316517,0.116879167,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2396.877392,-76.52463473,970.1798017,33745.07348,10.1545148,14.4227746,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,7.435,5873.953141,1015.708857,2257.689247,74.19300492,49.41220649,41.85051723,9.2321117,19.18612578,6.397936624,6.251536122,4.402409044,-2.267273631,-1.408913629,41.14507577,2694.489668,-0.390218806,-2.069857521,2236.348243,12556.83547,-14.04785163,-67.17428092,36.55373763,-4.147156063,4.089527955,1.834504238,0.004,#DIV/0!,,,,,
WA078242,Food Waste 400°C*,MIR048,,ash,Cornell ,,,Food,400,,,,,,,,,,,,,,,,,,,,0.5,0.31,nd,8.27,423,0.4596,0.1832,0.3572,98,157,560,32,413,5007,51745,14557,5341,9008,4.06,0.465517241,0.018254244,0.083386204,0.338990505,0.540410593,0.661009495,0.524,0.0365,14,0.392073399,0.132233291,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,4812.120221,-40.37599045,1904.236749,61970.35501,11.5531466,18.0171384,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,8.32,5007.045246,832.0844373,4431.317601,178.7360428,39.14612682,5.279267354,4.02834651,-3.568917612,14.01902831,12.01566628,4.308448028,-2.957582341,-0.519253551,18.55149885,5409.625149,14.38291947,-0.533272912,4401.958023,15209.79243,-0.808814098,-35.44254912,65.51541497,2.056772121,8.825457359,3.325932922,0.006,#DIV/0!,,,,,
WA078243,Food Waste 500°C*,MIR049,,ash,Cornell ,,,Food,500,,,,,,,,,,,,,,,,,,,,0.457,1,nd,9.67,573,0.527,0.1359,0.3371,88,229,388,37,328,7524,53779,21340,4461,13708,4.25,0.352059925,0.007569621,0.060170244,0.287403254,0.4729993,0.712596746,0.367,0.0256,14,0.420378375,-0.053738617,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3289.443515,-97.43614454,1043.117924,64405.87894,14.8348771,15.0886593,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,9.505,7524.097344,1041.582527,2427.422336,118.0438151,63.63708893,6.179642527,9.321740663,-5.371711818,7.587396819,6.618939735,3.945416032,-1.111365799,-0.8067377,9.461230158,3697.882752,5.137622947,-1.275030896,2442.904185,22995.21601,-6.969484573,-85.53066563,64.737917,-4.374271008,4.023405922,2.317283368,0.0034,#DIV/0!,,,,,
WA078244,Food Waste 600°C,MIR050,,ash,Cornell ,,,Food,600,,,,,,,,,,,,,,,,,,,,0.475,1.5,nd,10.53,645,0.5195,0.1356,0.3448,34,569,110,266,98,8150,73534,27949,6567,14503,4.95,0.367041199,0.022343937,0.066487946,0.282293748,0.480481122,0.717706252,0.232,0.0103,23,0.320062865,-0.087757826,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,6271.740403,44.92574295,2175.74255,88065.05628,26.7287576,22.6240119,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,10.955,8149.569052,1209.625293,5063.134226,200.8195067,64.17121654,10.86578309,26.57965049,-0.782680095,9.823774473,8.696488886,4.373496141,0.262417848,-1.110510247,-26.42790699,7050.481502,28.10620643,-0.429920657,5011.347607,27655.48626,-4.529494893,39.43637873,91.47412977,19.95585724,10.41254544,3.265258702,0.0027,#DIV/0!,,,,,
WA078245,Frye Poultry S-1,MIR051,,ash,Cornell ,,manure,Poultry,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,7470,0.584023902,0.039213829,0.376762269,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,76770.00588,70519.93467,16905.89415,13460.42727,,,0.155368661,0.210524848,0.094269427,0.415976098,0.905730573,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,6820.504833,1084.628864,1366.460442,91940.1268,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,43344.00109,15797.14493,3179.867321,795.8286506,1193.304461,1851.196005,22.42805338,78.69505652,32.04223281,24.81764014,7.207833145,59.04489215,-0.290256033,8.452675961,7667.384183,147.1247441,0.02124727,3153.99808,70270.90365,-7.228989228,952.100775,139.6475934,72.59531896,10.458957,11.1118901,#DIV/0!,#DIV/0!,,,,,
WA078246,Hazelnut Shells 300°C,MIR055,,woody,Cornell ,,woody biomass,Hazelnut,300,,,,,,,,,,,,,,,,,,,,0.336,1.3,224,6.35,38,0.0198,0.4923,0.4879,59,10,5,bd,bd,397,3726,5166,790,471,2.95,0.448,0.040644128,-0.006608494,0.502220385,0.980223396,0.497779615,0.699,0.0054,159,0.698569795,0.000149679,0.038994091,0.237135632,0.237004569,0.034401107,0.236405854,0.236536918,83.71035841,7.605878108,39.74740195,4461.920769,129.9858519,151.6200502,0.664999805,0.254751643,0.665142291,0.254806227,0.254665397,0.036964568,0.254022068,0.254162898,#DIV/0!,396.6010037,262.6698082,92.49551663,19.82895128,14.0964869,20.58967069,-0.587267628,10.81570566,0.633027011,0.765433099,0.225082609,-0.990673486,-0.115608635,-2.834227414,94.10439458,21.62023086,0.049482682,91.62046763,4374.121981,-3.1631238,6.676534877,31.34521142,2.324081603,0.304619466,0.015119419,0.0006,0.04,,,,,
WA078247,Hazelnut Shells 350°C,MIR056,,woody,Cornell ,,woody biomass,Hazelnut,350,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.012016177,0.426841397,0.561142427,67.51626016,13.02545699,12.45017967,-1.434094515,-1.905423509,,2579.582896,4142.080728,496.2028883,311.3293707,,0.384,0.044182013,0.006985689,0.432032779,0.987983823,0.567967221,0.713232569,0.004684236,152.2622932,0.731251423,-0.018018855,0.037399117,0.232667902,0.23263388,0.034275774,0.304709299,0.304743321,36.1791119,-26.56413974,24.4069581,3089.320833,156.1089938,177.5660254,0.624821176,0.244865913,0.609424882,0.238832142,0.238797219,0.035183867,0.312782184,0.312817107,#DIV/0!,278.5017194,136.0313815,56.79702541,30.32427987,13.47147725,9.741179547,0.817581077,9.795758142,0.75572001,0.367740461,0.340954561,0.005273787,0.085566833,1.388600883,40.67135162,12.09887666,0.089078135,58.04049472,3177.782143,4.060003186,-23.31833391,20.2227028,2.157028525,0.03466125,-0.010812117,#DIV/0!,#DIV/0!,,,,,
